title,company,city,date,url,department,workplace_type,description,requirements
חברת רפאל מערכות לחימה בתל אביב מגייסת סטודנט.ית לתחום משאבי אנוש,BAR Alumni Career,רמת גן,2026-05-10,https://career.rafael.co.il/job/12644/?referid=326,,parttime,"יתרון משמעותי לסטודנטים לתואר שני עם ניסיון בתחום ה HR
נדרשת יתרת לימודים של שנתיים וזמינות ל 4 ימים בשבוע.
התקן סטודנטיאלי בלבד
לפרטים והגשת מועמדות",
"דרוש/ה למילוי מקום לחופשת לידה, ראש/ת לשכה למנהל רשות המחקר באוניברסיטת בר-אילן",BAR Alumni Career,רמת גן,2026-05-10,https://sites.biu.ac.il/employability/messages,,onsite,"למילוי מקום לחופשת לידה, ראש/ת לשכה למנהל רשות המחקר באוניברסיטת בר-אילן.
היקף המשרה- חצי משרה (20 ש""ש) למשך כ-6 חודשים החל מאמצע חודש מאי. קיימת גמישות בסידור העבודה.
תחומי אחריות:
ניהול יומן ותיאום פגישות
תפעול שוטף של הלשכה, כולל מתן מענה אדמיניסטרטיבי
הכנת חומרים, מצגות ומסמכים
טיפול בפניות ותקשורת פנים וחוץ ארגונית
שליפת מידע ממערכת נתונים ועיבודו
מתן מענה אדמיניסטרטיבי ולוגיסטי למחלקה, לפי בקשת המנהל","דרישות התפקיד
:
דיסקרטיות ואחריות ברמה גבוהה.
כישורי ארגון ותיעדוף גבוהים, יכולת גמישות.
יכולת להתנהל בכמה משימות במקביל ובלוחות זמנים צפופים.
תקשורת בין-אישית מעולה ויכולת לעבוד מול מגוון גורמים, בתוך האוניברסיטה ומחוצה לה.
שליטה ביישומי
Office
, אוריינטציה טכנולוגית ונכונות ללמוד מערכות ממוחשבות חדשות.
ידיעת השפה האנגלית.
קורות חיים ניתן לשלוח לדוא""ל:
research.authority@biu.ac.il"
דרוש דילר לחדר עסקאות ניירות ערך זרים- בנק הפועלים,BAR Alumni Career,רמת גן,2026-05-10,https://sites.biu.ac.il/employability/messages,,onsite,"סטודנט/ית לתואר ראשון בכלכלה/מנהל עסקים, תחילת שנה ב' יתרת לימודים שנתיים לפחות
תנאי העסקה נוחים המאפשרים שילוב לימודים
הזדמנות להשתלב בגוף פיננסי מוביל ולפתח קריירה בשוק ההון
נכונות ל 3-4 משמרות בשבוע,  לפחות 2 משמרות ערב 14:00-23:00
ניסיון מקצועי:
5 יח""ל מתמטיקה - חובה
ניסיון קודם בתחום המכירות, הפיננסים או ההשקעות - יתרון משמעותי.
שליטה באקסל ברמה גבוהה.
אנגלית ברמה גבוהה.","כישורים נדרשים
:
שירותיות - תודעת שירות גבוהה.
מוטיבציה ומוסר עבודה גבוהה - מכוונות גבוהה לעשייה ולהשגת תפוקות
למידה מהירה - רכישת מידע חדש בקצב מהיר ולבסס בקיאות מקצועית
תפקוד בתנאי עומס ולחץ-יכולת עבודה בלחץ ובעומס.
יסודיות- דייקנות והקפדה על פרטים.
ציוותיות ושותפות- יכולת שת""פ כחלק מצוות מקצועי.העבודה היא בSpaceOpen.
תקשורת בינאישית גבוהה - כושר הבעה בעל פה ובכתב בעברית ואנגלית כאחד (שפות
נוספות יתרון)
העבודה במרכז ת""א
המשרה מיועדת לנשים וגברים כאחד
קורות חיים יש להעביר ל:
jobs.poalim@adamtotal.co.il"
דרוש/ה רכז/ת לשכה לבנק ישראל,BAR Alumni Career,רמת גן,2026-05-10,https://careers.boi.org.il/job/%D7%90%D7%A8%D7%A2%D7%99-%D7%A8%D7%9B%D7%96%D7%AA-%D7%9C%D7%A9%D7%9B%D7%AA-%D7%A0%D7%92%D7%99%D7%93-%D7%91%D7%A0%D7%A7-%D7%99%D7%A9%D7%A8%D7%90%D7%9C/1367124933/,,onsite,"דרוש/ה רכז/ת לשכה בלשכת נגיד בנק ישראל. משרה אדמינסטרטיבית הכוללת ניהול יומן מורכב, תיאום פגישות, הכנת חומרים לישיבות ומתן תמיכה שוטפת בסביבה דינמית ודיסקרטית.
התפקיד מתאים לבעלי ניסיון בלשכות בכירות עם שליטה ב־Office, יכולת עבודה בלחץ ויחסי אנוש מצוינים, תוך זמינות למשרה מלאה וגמישות בשעות.
לפרטים והגשת מועמדות",
Student Algo Developer,BAR Alumni Career,רמת גן,2026-05-10,https://appliedmaterials.eightfold.ai/events/candidate?plannedEventId=pqLaw25Aw,,onsite,"לחברת
Applied Materials Israel
דרושים סטודנטים
במהלך התואר השני/שלישי- יתרת לימודים של שנתיים/שלוש בהנדסת תוכנה, מדעי המחשב, הנדסת אלקטרוניקה, אלגוריתמיקה, פיזיקה.
לפרטים והגשת מועמדות",
למשרד העבודה דרוש/ה סטודנט/ית לקשרי חוץ,BAR Alumni Career,רמת גן,2026-05-10,https://sites.biu.ac.il/employability/messages,,parttime,"מה עושים?
סקירת מחקר ומדיניות
קשר עם מדיניות וארגונים בינלאומיים
ליווי משלחות וכנסים
דוברות והסברה בינלאומית
מי מתאים?
סטודנט/ית לתואר ראשון או שני
אנגלית ברמה גבוהה
יכולת כתיבה ומחקר
מיקום: ירושלים (קריית הממשלה)
קו""ח ואישור לימודים ל amosp@labor.gov.il",
למשרד העבודה דרוש.ה סטודנט.ית לניהול קשרי חוץ,BAR Alumni Career,רמת גן,2026-05-10,https://sites.biu.ac.il/employability/messages,,parttime,"אגף בכיר דוברות וקשרי חוץ מגייס סטודנט/ית לסיוע בניהול קשרי החוץ.
הזדמנות לשלב עבודה דיפלומטית עם השפעה ישירה על מדיניות העבודה בישראל תוך חשיפה ישירה למקבלי
החלטות בארץ ובעולם.
מה תעשו?
מחקר ועיצוב מדיניות: כתיבת ניירות עמדה וריכוז חומרים מקצועיים לפורומים בינלאומיים.
הסכמים וקשרים בילטרליים: סיוע בפיתוח הסכמים עם מדינות וארגונים בינ""ל וארגון ומפגשים מקצועיים.
ליווי משלחות: אחריות על התוכן והתיאום המקצועי של ביקורי משלחות זרות בארץ ובחו""ל.
עבודת מטה והסברה: ניהול ממשקי עבודה מול ארגונים רב-לאומיים ושותפות במערך ההסברה הבינלאומי של המשרד. את מי אנחנו מחפשים?
סטודנט/ית לתואר ראשון/שני.
שפות: עברית ואנגלית ברמה גבוהה מאוד.
כישורים: יכולת מחקר וניסוח מעולה, וזיקה לעולמות העבודה והיחב""ל.
מיקום: ירושלים (קריית הממשלה).
להגשת מועמדות עד לתאריך 05.03.2026 : https://www.gov.il/he/pages/job81135549
amos.pfeffermann@labor.gov.il",
"דרוש/ה רו""ח או מתמחה בחשבונאות לרשות ניירות ערך",BAR Alumni Career,רמת גן,2026-05-10,https://www.keinan-sheffy.co.il/pos6705/,,onsite,"לתפקיד המשלב: הובלת פיקוח שוטף על חברות ציבוריות מענפים מגוונים (טכנולוגיה, נדל""ן, אנרגיה, מדעי החיים, קמעונאות ועוד), ניתוח דוחות כספיים ותשקיפים, טיפול בסוגיות חשבונאיות, משפטיות וכלכליות, עבודה עם הערכות שווי, ומעורבות בפרויקטים רגולטוריים שמשפיעים על שוק ההון כולו.
*מיקום: רשות ניירות ערך, תל אביב/ירושלים, עם יום עבודה מהבית*","דרישות:

בוגרי/ות תואר ראשון בחשבונאות (שנה ד’ ומעלה)
רו""ח מוסמך או לקראת הסמכה
עם חשיבה אנליטית, סקרנות מקצועית ורצון להיות במקום שבו מתקבלות החלטות אמיתיות.
*המשרה מיועדת לגברים ונשים כאחד*
לפרטים נוספים על המשרה ולהגשת קורות חיים:
https://www.keinan-sheffy.co.il/pos6705/"
המרכז למשכנתאות מגייסת | יועץ/ת מסלולי אשראי ומשכנתאות,BAR Alumni Career,רמת גן,2026-05-10,https://sites.biu.ac.il/employability/messages,,onsite,"תיאור משרה:
המרכז למשכנתאות, מובילה בתחום פתרונות פיננסיים מתקדמים, מרחיבה את הצוות ומזמינה טאלנטים
מצטיינים להצטרף לתפקיד מפתח בעולם המימון.
התפקיד: יועץ/ת מסלולי אשראי ומשכנתאות
במסגרת התפקיד תובילו את נקודת המפגש הראשונה עם הלקוח, תבצעו אבחון פיננסי חכם ומעמיק ותתאימו
פתרונות מדויקים ומתקדמים בתחומי המשכנתאות, האשראי העסקי ומסלולי המימון המובילים בשוק.
אנחנו מחפשים מועמדים בעלי חשיבה אנליטית, תודעת שירות גבוהה, יכולת בין-אישית מצוינת ושאיפה
אמיתית להתפתח בעולם פיננסי דינמי ומאתגר.
מה מחכה לכם אצלנו?
• הכשרה מקיפה ברמה הגבוהה ביותר
• מסלול צמיחה מקצועי וניהולי לטווח ארוך
• סביבת עבודה איכותית, מקדמת ומקצועית
• מודל תגמול נדיב ואטרקטיבי
יתרון משמעותי לבוגרי תואר בכלכלה / מנהל עסקים או בעלי רקע פיננסי קודם.
מעוניינים להצטרף לארגון שמוביל סטנדרט חדש בעולם המימון?
שלחו קורות חיים לכתובת: efrat@mashkanta-center.co.il",
המרכז למשכנתאות מגייס | מנהל/ת קשרי בנקים וגופי מימון,BAR Alumni Career,רמת גן,2026-05-10,https://sites.biu.ac.il/employability/messages,,onsite,"המרכז למשכנתאות, מובילה בתחום פתרונות פיננסיים מתקדמים, מתרחבת ומחפשת אנשים שאפתניים
שרוצים להיות חלק מהמהלכים הגדולים בעולם המימון.
התפקיד: מנהל/ת קשרי בנקים וגופי מימון
במסגרת התפקיד תובילו תהליכים אסטרטגיים מול בנקים וגופי מימון, תשיגו אישורים עקרוניים ללקוחות,
תקדמו תיקים בקצב גבוה ותוודאו שכל תהליך נסגר בצורה מדויקת ומקצועית.
אנו מחפשים אנשים בעלי רקע פיננסי, אסרטיביות גבוהה, יכולת תקשורת מצוינת וחתירה ברורה לתוצאות -
לצד רצון אמיתי להתפתח בעולם האשראי והמימון.
מה מחכה לכם אצלנו?
• הכשרה מקיפה בתחום האשראי והמשכנתאות
• מסלול צמיחה מקצועי וניהולי לטווח ארוך
• סביבת עבודה איכותית, מקדמת ומקצועית
• מודל תגמול נדיב ואטרקטיבי
יתרון משמעותי לבוגרי תואר בכלכלה / מנהל עסקים או בעלי ניסיון קודם בעולמות הפיננסים.
מרגישים שזה אתם?
שלחו קו""ח ל: efrat@mashkanta-center.co.il",
